algo,total_bits,frac_bits,angle_idx,sin,cos,sin_ref,cos_ref,sin_err,cos_err,ticks
CORDIC,16,14,0,4,16383,0,16384,4,1,18577
TAYLOR,16,14,0,0,16384,0,16384,0,0,19164
MINIMAX,16,14,0,0,16384,0,16384,0,0,15139
CORDIC,16,14,1,4240,15826,4240,15826,0,0,18602
TAYLOR,16,14,1,4240,15826,4240,15826,0,0,19164
MINIMAX,16,14,1,4240,15826,4240,15826,0,0,15140
CORDIC,16,14,2,8189,14191,8192,14189,3,2,18589
TAYLOR,16,14,2,8192,14188,8192,14189,0,1,19165
MINIMAX,16,14,2,8192,14188,8192,14189,0,1,15139
CORDIC,16,14,3,11585,11586,11585,11585,0,1,18601
TAYLOR,16,14,3,11584,11585,11585,11585,1,0,19164
MINIMAX,16,14,3,11584,11585,11585,11585,1,0,15139
CORDIC,16,14,4,14191,8189,14189,8192,2,3,18602
TAYLOR,16,14,4,14188,8192,14189,8192,1,0,19276
MINIMAX,16,14,4,14188,8192,14189,8192,1,0,15252
CORDIC,16,14,5,15826,4240,15826,4240,0,0,18589
TAYLOR,16,14,5,15826,4240,15826,4240,0,0,19277
MINIMAX,16,14,5,15826,4240,15826,4240,0,0,15252
CORDIC,16,14,6,16383,2,16384,0,1,2,18627
TAYLOR,16,14,6,16384,0,16384,0,0,0,19277
MINIMAX,16,14,6,16384,0,16384,0,0,0,15252
